"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-06","0.00","45","31"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-07","0.06","44","39"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-08","0.10","42","34"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-09","0.10","40","34"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-10","0.00","37","29"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-11","0.00","34","20"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-12","0.00","44","21"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-13","0.00","48","25"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-14","0.00","48","24"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-15","0.31","49","41"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-16","0.00","49","37"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-17","0.00","38","28"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-18","0.00","40","29"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-19","0.02","41","30"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-20","0.79","49","32"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-12-21","0.00","32","18"
